one_cyl_ignition LANDMARK experiment build
one_cyl_ignition LANDMARK experiment build
WATCHDOG: STALL gap_us=3000012
seq=145 ev=FIRED     val_us=156624 refBig_us=105648 period_us=156624 rpm=383 edgeToSpark_us=137040
seq=146 ev=SKIP      val_us=34512 refBig_us=104000
seq=147 ev=SKIP      val_us=18192 refBig_us=102384
seq=148 ev=SKIP      val_us=15536 refBig_us=100800
seq=149 ev=FIRED     val_us=158768 refBig_us=99232 period_us=158768 rpm=377 edgeToSpark_us=138912
seq=150 ev=SKIP      val_us=54448 refBig_us=97696
seq=151 ev=SKIP      val_us=13216 refBig_us=96176
seq=152 ev=FIRED     val_us=191824 refBig_us=124160 period_us=191824 rpm=312 edgeToSpark_us=167840
seq=153 ev=SKIP      val_us=16656 refBig_us=122224
seq=154 ev=SKIP      val_us=4336 refBig_us=120320
seq=155 ev=SKIP      val_us=12112 refBig_us=118448
seq=156 ev=FIRED     val_us=120992 refBig_us=116608 period_us=120992 rpm=495 edgeToSpark_us=105856
seq=157 ev=SKIP      val_us=35728 refBig_us=114800
seq=158 ev=SKIP      val_us=23360 refBig_us=113008
seq=159 ev=SKIP      val_us=9504 refBig_us=111248
seq=160 ev=FIRED     val_us=158992 refBig_us=109520 period_us=158992 rpm=377 edgeToSpark_us=139104
seq=161 ev=SKIP      val_us=35120 refBig_us=107824
seq=162 ev=SKIP      val_us=20432 refBig_us=106144
seq=163 ev=SKIP      val_us=11712 refBig_us=104496
seq=164 ev=FIRED     val_us=158032 refBig_us=102864 period_us=158032 rpm=379 edgeToSpark_us=138272
seq=165 ev=SKIP      val_us=34304 refBig_us=101264
seq=166 ev=SKIP      val_us=21008 refBig_us=99696
seq=167 ev=SKIP      val_us=13632 refBig_us=98144
seq=168 ev=FIRED     val_us=160512 refBig_us=96624 period_us=160512 rpm=373 edgeToSpark_us=140448
seq=169 ev=SKIP      val_us=37648 refBig_us=95120
seq=170 ev=SKIP      val_us=21968 refBig_us=93648
seq=171 ev=SKIP      val_us=17616 refBig_us=92192
seq=172 ev=FIRED     val_us=200576 refBig_us=123344 period_us=200576 rpm=299 edgeToSpark_us=175504
seq=173 ev=FIRED     val_us=113152 refBig_us=121424 period_us=113152 rpm=530 edgeToSpark_us=99008
seq=174 ev=SKIP      val_us=21312 refBig_us=119536
WATCHDOG: STALL gap_us=3000012
