=== CAPTURE OPEN - crank now ===
WATCHDOG: STALL gap_us=3000012
seq=159 ev=FIRED     val_us=140416 refBig_us=119824 period_us=152112 rpm=394 resid_us=-12080 edgeToSpark_us=137312
seq=160 ev=SKIP      val_us=30720 refBig_us=117952
seq=161 ev=SKIP      val_us=22816 refBig_us=116112
seq=162 ev=SKIP      val_us=9568 refBig_us=114304
seq=163 ev=FIRED     val_us=192160 refBig_us=139616 period_us=153360 rpm=391 resid_us=40048 edgeToSpark_us=162800
seq=164 ev=SKIP      val_us=13472 refBig_us=137440
seq=165 ev=FIRED     val_us=136816 refBig_us=135296 period_us=152832 rpm=392 resid_us=-16544 edgeToSpark_us=137968
seq=166 ev=SKIP      val_us=32992 refBig_us=133184
seq=167 ev=SKIP      val_us=22384 refBig_us=131104
seq=168 ev=SKIP      val_us=10736 refBig_us=129056
seq=169 ev=FIRED     val_us=138880 refBig_us=127040 period_us=152384 rpm=393 resid_us=-13952 edgeToSpark_us=137568
seq=170 ev=SKIP      val_us=34128 refBig_us=125056
seq=171 ev=SKIP      val_us=21824 refBig_us=123104
seq=172 ev=SKIP      val_us=10288 refBig_us=121184
seq=173 ev=FIRED     val_us=193968 refBig_us=139936 period_us=153680 rpm=390 resid_us=41584 edgeToSpark_us=164320
seq=174 ev=SKIP      val_us=13648 refBig_us=137760
seq=175 ev=FIRED     val_us=171072 refBig_us=135616 period_us=154208 rpm=389 resid_us=17392 edgeToSpark_us=144928
seq=176 ev=SKIP      val_us=15968 refBig_us=133504
seq=177 ev=SKIP      val_us=5088 refBig_us=131424
seq=178 ev=SKIP      val_us=11024 refBig_us=129376
seq=179 ev=FIRED     val_us=133456 refBig_us=127360 period_us=153552 rpm=390 resid_us=-20752 edgeToSpark_us=138608
seq=180 ev=SKIP      val_us=33744 refBig_us=125376
seq=181 ev=SKIP      val_us=22496 refBig_us=123424
seq=182 ev=SKIP      val_us=10032 refBig_us=121504
seq=183 ev=FIRED     val_us=169968 refBig_us=121840 period_us=154064 rpm=389 resid_us=16416 edgeToSpark_us=144000
seq=184 ev=SKIP      val_us=21744 refBig_us=119952
seq=185 ev=SKIP      val_us=9936 refBig_us=118080
seq=186 ev=FIRED     val_us=168208 refBig_us=122160 period_us=154496 rpm=388 resid_us=14144 edgeToSpark_us=142496
seq=187 ev=SKIP      val_us=21632 refBig_us=120256
seq=188 ev=SKIP      val_us=10144 refBig_us=118384
seq=189 ev=FIRED     val_us=131904 refBig_us=116544 period_us=153776 rpm=390 resid_us=-22592 edgeToSpark_us=138816
seq=190 ev=SKIP      val_us=57456 refBig_us=114736
seq=191 ev=SKIP      val_us=10560 refBig_us=112944
seq=192 ev=FIRED     val_us=157840 refBig_us=111184 period_us=153888 rpm=389 resid_us=4064 edgeToSpark_us=138912
seq=193 ev=EARLY     val_us=85248 refBig_us=109456
seq=194 ev=SKIP      val_us=15264 refBig_us=107760
seq=195 ev=FIRED     val_us=279376 refBig_us=134688 period_us=152992 rpm=392 resid_us=-28400 edgeToSpark_us=138112
seq=196 ev=FIRED     val_us=341920 refBig_us=168352 period_us=154112 rpm=389 resid_us=35936 edgeToSpark_us=144832
WATCHDOG: STALL gap_us=3000016
=== CAPTURE CLOSED ===
