PriLevel,SecLevel,ThirdLevel,Trigger,Sync,Cycle,RefTime,ToothTime,Time
Flag,Flag,Flag,Flag,Flag,Flag,ms,ms,ms
1.000,0.000,1.000,0.000,1.000,0.000,93048.234,53.600,93048.234
0.000,0.000,1.000,0.000,1.000,0.000,93048.711,0.480,93048.711
1.000,0.000,1.000,0.000,1.000,0.000,93102.313,53.604,93102.313
0.000,0.000,1.000,0.000,1.000,0.000,93102.797,0.480,93102.797
1.000,0.000,1.000,0.000,1.000,0.000,93156.414,53.620,93156.414
0.000,0.000,1.000,0.000,1.000,0.000,93156.898,0.484,93156.898
1.000,0.000,1.000,0.000,1.000,0.000,93210.516,53.612,93210.516
1.000,0.000,1.000,0.000,1.000,0.000,93427.492,216.984,93427.492
0.000,0.000,1.000,0.000,1.000,0.000,93428.016,0.520,93428.016
1.000,0.000,1.000,0.000,1.000,0.000,93481.570,53.552,93481.570
0.000,0.000,1.000,0.000,1.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
0.000,0.000,0.000,0.000,0.000,0.000,93482.047,0.480,93482.047
