one_cyl_ignition LANDMARK-PLL experiment build
timing: AFTER_EDone_cyl_ignition LANDMARK-PLL experiment build
timing: AFTER_EDGE_DEG=315 TRIGGER_ANGLE_BTDC=330 ADVANCE_BTDC=15
WATCHDOG: STALL gap_us=3000012
seq=175 ev=SKIP      val_us=19024 refBig_us=113184
seq=176 ev=SKIP      val_us=45104 refBig_us=111424
seq=177 ev=SKIP      val_us=8368 refBig_us=109696
seq=178 ev=SYNCCAND  val_us=175472 refBig_us=107984
seq=179 ev=SKIP      val_us=44560 refBig_us=106304
seq=180 ev=SKIP      val_us=8416 refBig_us=104656
seq=181 ev=SYNCFIRST val_us=137920 refBig_us=103024
seq=182 ev=SKIP      val_us=43728 refBig_us=101424
seq=183 ev=SKIP      val_us=7840 refBig_us=99840
seq=184 ev=FIRED     val_us=175776 refBig_us=124208 period_us=139088 rpm=431 resid_us=37856 edgeToSpark_us=121696
seq=185 ev=SKIP      val_us=7808 refBig_us=122272
seq=186 ev=FIRED     val_us=164288 refBig_us=123344 period_us=139872 rpm=428 resid_us=25200 edgeToSpark_us=122384
seq=187 ev=SKIP      val_us=7264 refBig_us=121424
seq=188 ev=FIRED     val_us=153120 refBig_us=123792 period_us=140272 rpm=427 resid_us=13248 edgeToSpark_us=122736
seq=189 ev=SKIP      val_us=7984 refBig_us=121872
seq=190 ev=FIRED     val_us=143168 refBig_us=123584 period_us=140352 rpm=427 resid_us=2896 edgeToSpark_us=122800
seq=191 ev=SKIP      val_us=7568 refBig_us=121664
seq=192 ev=FIRED     val_us=134240 refBig_us=124128 period_us=140160 rpm=428 resid_us=-6112 edgeToSpark_us=122640
seq=193 ev=SKIP      val_us=7504 refBig_us=122192
seq=194 ev=FIRED     val_us=126736 refBig_us=124576 period_us=139728 rpm=429 resid_us=-13424 edgeToSpark_us=122256
seq=195 ev=SKIP      val_us=7648 refBig_us=122640
seq=196 ev=FIRED     val_us=120304 refBig_us=124400 period_us=139120 rpm=431 resid_us=-19424 edgeToSpark_us=121728
seq=197 ev=SKIP      val_us=7584 refBig_us=122464
seq=198 ev=FIRED     val_us=114496 refBig_us=123904 period_us=138336 rpm=433 resid_us=-24624 edgeToSpark_us=121040
seq=199 ev=SKIP      val_us=7424 refBig_us=121968
