[COM9] WATCHDOG: STALL gap_us=3000012
[COM10] WATCHDOG: STALL gap_us=3000012
[COM10] seq=62 ev=FIRED     val_us=194176 refBig_us=92864 period_us=122640 rpm=489 resid_us=-54528 edgeToSpark_us=110704
[COM10] seq=63 ev=SKIP      val_us=34288 refBig_us=91424
[COM10] seq=64 ev=SKIP      val_us=17504 refBig_us=90000
[COM10] seq=65 ev=SKIP      val_us=4720 refBig_us=88608
[COM9] seq=57 ev=FIRED     val_us=153856 refBig_us=90048 period_us=159680 rpm=375 resid_us=-6016 edgeToSpark_us=144144
[COM10] seq=66 ev=SKIP      val_us=10416 refBig_us=87232
[COM9] seq=58 ev=SKIP      val_us=38176 refBig_us=88656
[COM9] seq=59 ev=SKIP      val_us=7456 refBig_us=87280
[COM9] seq=60 ev=SKIP      val_us=24960 refBig_us=85920
[COM10] seq=67 ev=FIRED     val_us=108192 refBig_us=88976 period_us=122176 rpm=491 resid_us=-14448 edgeToSpark_us=110288
[COM10] seq=68 ev=SKIP      val_us=37376 refBig_us=87600
[COM10] seq=69 ev=SKIP      val_us=20336 refBig_us=86240
[COM9] seq=61 ev=FIRED     val_us=158352 refBig_us=93024 period_us=159632 rpm=375 resid_us=-1328 edgeToSpark_us=144112
[COM10] seq=70 ev=SKIP      val_us=13264 refBig_us=84896
[COM9] seq=62 ev=SKIP      val_us=4400 refBig_us=91584
[COM9] seq=63 ev=SKIP      val_us=32672 refBig_us=90160
[COM10] WATCHDOG: MAX_DWELL exceeded, forced coil LOW
[COM9] seq=64 ev=SKIP      val_us=26608 refBig_us=88752
[COM10] seq=71 ev=FIRED     val_us=149376 refBig_us=91040 period_us=123024 rpm=487 resid_us=27200 edgeToSpark_us=126544
[COM10] seq=72 ev=SKIP      val_us=34976 refBig_us=89632
[COM10] seq=73 ev=SKIP      val_us=22032 refBig_us=88240
[COM9] seq=65 ev=FIRED     val_us=159792 refBig_us=97264 period_us=159632 rpm=375 resid_us=160 edgeToSpark_us=144112
[COM10] seq=74 ev=SKIP      val_us=11792 refBig_us=86864
[COM9] seq=66 ev=SKIP      val_us=48336 refBig_us=95760
[COM9] seq=67 ev=SKIP      val_us=14224 refBig_us=94272
