---- summary ----
edges=332 dropped=0
EDGE=FALL pulse_us=16
EDGE=RISE gap_us=26208
EDGE=FALL pulse_us=33312
EDGE=RISE gap_us=3024
EDGE=FALL pulse_us=6912
EDGE=RISE gap_us=19872
EDGE=FALL pulse_us=4896
EDGE=RISE gap_us=7776
EDGE=FALL pulse_us=107248
EDGE=RISE gap_us=15504
EDGE=FALL pulse_us=74432
EDGE=RISE gap_us=17504
EDGE=FALL pulse_us=19600
EDGE=RISE gap_us=11328
