[COM12] WATCHDOG: STALL gap_us=3000004
[COM13] WATCHDOG: STALL gap_us=3000016
[COM11] WATCHDOG: STALL gap_us=3000004
[COM12] cyl=2 seq=33 ev=SKIP      val_us=41616 refBig_us=88320
[COM13] cyl=3 seq=48 ev=FIRED     val_us=105392 refBig_us=88224 period_us=86816 rpm=691 resid_us=19168 edgeToSpark_us=89280
[COM12] cyl=2 seq=34 ev=SKIP      val_us=15616 refBig_us=86944
[COM12] cyl=2 seq=35 ev=SKIP      val_us=9376 refBig_us=85600
[COM11] cyl=1 seq=47 ev=FIRED     val_us=163616 refBig_us=92400 period_us=157184 rpm=381 resid_us=6624 edgeToSpark_us=141888
[COM13] cyl=3 seq=49 ev=FIRED     val_us=84768 refBig_us=86848 period_us=86752 rpm=691 resid_us=-2048 edgeToSpark_us=75904
[COM11] cyl=1 seq=48 ev=SKIP      val_us=33952 refBig_us=90960
[COM11] cyl=1 seq=49 ev=SKIP      val_us=23600 refBig_us=89552
[COM12] cyl=2 seq=36 ev=FIRED     val_us=171152 refBig_us=93456 period_us=87568 rpm=685 resid_us=-4272 edgeToSpark_us=76608
[COM12] cyl=2 seq=37 ev=SKIP      val_us=4256 refBig_us=92000
[COM11] cyl=1 seq=50 ev=SKIP      val_us=10032 refBig_us=88160
[COM13] cyl=3 seq=50 ev=FIRED     val_us=88960 refBig_us=90752 period_us=86816 rpm=691 resid_us=2208 edgeToSpark_us=75952
[COM13] cyl=3 seq=51 ev=SKIP      val_us=3632 refBig_us=89344
[COM13] cyl=3 seq=52 ev=SKIP      val_us=7808 refBig_us=87952
[COM12] cyl=2 seq=38 ev=FIRED     val_us=65568 refBig_us=90576 period_us=86880 rpm=690 resid_us=-22000 edgeToSpark_us=76016
[COM13] cyl=3 seq=53 ev=SKIP      val_us=46624 refBig_us=86592
[COM11] cyl=1 seq=51 ev=FIRED     val_us=165024 refBig_us=91632 period_us=157424 rpm=381 resid_us=7840 edgeToSpark_us=142112
[COM13] cyl=3 seq=54 ev=SKIP      val_us=9744 refBig_us=85248
[COM11] cyl=1 seq=52 ev=SKIP      val_us=33536 refBig_us=90208
[COM11] cyl=1 seq=53 ev=SKIP      val_us=17856 refBig_us=88800
[COM12] cyl=2 seq=39 ev=FIRED     val_us=70480 refBig_us=89168 period_us=86352 rpm=694 resid_us=-16400 edgeToSpark_us=75552
[COM11] cyl=1 seq=54 ev=SKIP      val_us=16256 refBig_us=87424
[COM12] cyl=2 seq=40 ev=SKIP      val_us=39568 refBig_us=87776
[COM13] cyl=3 seq=55 ev=FIRED     val_us=159664 refBig_us=89920 period_us=86368 rpm=694 resid_us=-13968 edgeToSpark_us=75568
[COM13] cyl=3 seq=56 ev=SKIP      val_us=12688 refBig_us=88528
[COM12] cyl=2 seq=41 ev=SKIP      val_us=25424 refBig_us=86416
