one_cyl_ignition DEBUG build
one_cyl_ignition DEBUG build
WATCHDOG: STALL gap_us=3000008
seq=138 ev=BLANKED   interval_us=12176 blank_us=78592
seq=139 ev=FIRED     interval_us=101712 blank_us=78592 period_us=101712 rpm=589 edgeToSpark_us=88992
seq=140 ev=BLANKED   interval_us=36192 blank_us=50848
seq=141 ev=FIRED     interval_us=57968 blank_us=50848 period_us=57968 rpm=1035 edgeToSpark_us=50720
seq=142 ev=BLANKED   interval_us=10560 blank_us=28976
seq=143 ev=RATEJUMP  interval_us=100640 blank_us=28976
seq=144 ev=BLANKED   interval_us=33504 blank_us=50320
seq=145 ev=SYNCCAND  interval_us=52448 blank_us=50320
seq=146 ev=BLANKED   interval_us=13808 blank_us=26224
seq=147 ev=SYNCCAND  interval_us=101584 blank_us=26224
seq=148 ev=BLANKED   interval_us=37312 blank_us=50784
seq=149 ev=SYNCCAND  interval_us=60304 blank_us=50784
seq=150 ev=BLANKED   interval_us=10064 blank_us=30144
seq=151 ev=SYNCCAND  interval_us=97184 blank_us=30144
seq=152 ev=BLANKED   interval_us=37216 blank_us=48592
seq=153 ev=SYNCCAND  interval_us=61328 blank_us=48592
seq=154 ev=BLANKED   interval_us=9776 blank_us=30656
seq=155 ev=SYNCCAND  interval_us=98368 blank_us=30656
seq=156 ev=BLANKED   interval_us=38800 blank_us=49184
seq=157 ev=SYNCCAND  interval_us=55472 blank_us=49184
seq=158 ev=BLANKED   interval_us=13504 blank_us=27728
seq=159 ev=SYNCCAND  interval_us=104592 blank_us=27728
seq=160 ev=BLANKED   interval_us=33296 blank_us=52288
seq=161 ev=SYNCCAND  interval_us=56192 blank_us=52288
seq=162 ev=BLANKED   interval_us=10944 blank_us=28096
seq=163 ev=SYNCCAND  interval_us=100640 blank_us=28096
seq=164 ev=BLANKED   interval_us=34496 blank_us=50320
seq=165 ev=SYNCCAND  interval_us=56896 blank_us=50320
seq=166 ev=BLANKED   interval_us=10752 blank_us=28448
seq=167 ev=SYNCCAND  interval_us=99360 blank_us=28448
seq=168 ev=BLANKED   interval_us=35808 blank_us=49680
seq=169 ev=SYNCCAND  interval_us=55360 blank_us=49680
seq=170 ev=BLANKED   interval_us=13504 blank_us=27680
seq=171 ev=SYNCCAND  interval_us=99536 blank_us=27680
seq=172 ev=BLANKED   interval_us=37872 blank_us=49760
