---- summary ----
edges=994 dropped=0
EDGE=FALL pulse_us=4288
EDGE=RISE gap_us=19232
EDGE=FALL pulse_us=4096
EDGE=RISE gap_us=7712
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=5456
EDGE=FALL pulse_us=32672
EDGE=RISE gap_us=2944
EDGE=FALL pulse_us=2848
EDGE=RISE gap_us=20560
EDGE=FALL pulse_us=3504
EDGE=RISE gap_us=5904
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=5216
EDGE=FALL pulse_us=35936
EDGE=RISE gap_us=21152
EDGE=FALL pulse_us=7504
EDGE=RISE gap_us=6272
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=7376
EDGE=FALL pulse_us=32576
EDGE=RISE gap_us=3600
EDGE=FALL pulse_us=5232
EDGE=RISE gap_us=15632
EDGE=FALL pulse_us=5152
EDGE=RISE gap_us=6624
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=5616
EDGE=FALL pulse_us=32960
EDGE=RISE gap_us=2784
EDGE=FALL pulse_us=4816
EDGE=RISE gap_us=18240
EDGE=FALL pulse_us=3856
EDGE=RISE gap_us=6016
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=7504
EDGE=FALL pulse_us=31712
EDGE=RISE gap_us=2752
EDGE=FALL pulse_us=3520
EDGE=RISE gap_us=17216
EDGE=FALL pulse_us=6928
EDGE=RISE gap_us=5568
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=6240
EDGE=FALL pulse_us=32752
EDGE=RISE gap_us=2912
EDGE=FALL pulse_us=3760
EDGE=RISE gap_us=20304
EDGE=FALL pulse_us=3856
EDGE=RISE gap_us=6128
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=6384
EDGE=FALL pulse_us=32896
EDGE=RISE gap_us=2960
EDGE=FALL pulse_us=5184
EDGE=RISE gap_us=17904
EDGE=FALL pulse_us=3888
EDGE=RISE gap_us=5536
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=4480
EDGE=FALL pulse_us=35056
EDGE=RISE gap_us=2544
EDGE=FALL pulse_us=3072
EDGE=RISE gap_us=15872
EDGE=FALL pulse_us=8480
EDGE=RISE gap_us=6080
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=7088
EDGE=FALL pulse_us=31248
EDGE=RISE gap_us=3104
EDGE=FALL pulse_us=3424
EDGE=RISE gap_us=14400
EDGE=FALL pulse_us=9280
EDGE=RISE gap_us=7472
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=3392
EDGE=FALL pulse_us=35024
EDGE=RISE gap_us=2768
EDGE=FALL pulse_us=6096
EDGE=RISE gap_us=11568
EDGE=FALL pulse_us=3792
EDGE=RISE gap_us=1984
EDGE=FALL pulse_us=3408
EDGE=RISE gap_us=7376
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=10416
EDGE=FALL pulse_us=29168
EDGE=RISE gap_us=2944
EDGE=FALL pulse_us=5472
EDGE=RISE gap_us=16496
EDGE=FALL pulse_us=5152
EDGE=RISE gap_us=6448
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=8608
EDGE=FALL pulse_us=31216
EDGE=RISE gap_us=3184
EDGE=FALL pulse_us=5728
EDGE=RISE gap_us=15920
EDGE=FALL pulse_us=4496
EDGE=RISE gap_us=7408
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=7360
EDGE=FALL pulse_us=31872
EDGE=RISE gap_us=2912
EDGE=FALL pulse_us=5280
EDGE=RISE gap_us=17616
EDGE=FALL pulse_us=4560
EDGE=RISE gap_us=6160
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=7312
EDGE=FALL pulse_us=31728
EDGE=RISE gap_us=2112
EDGE=FALL pulse_us=6592
EDGE=RISE gap_us=15008
EDGE=FALL pulse_us=6688
EDGE=RISE gap_us=5632
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=2832
EDGE=FALL pulse_us=36800
EDGE=RISE gap_us=2192
EDGE=FALL pulse_us=6608
EDGE=RISE gap_us=17376
EDGE=FALL pulse_us=3808
EDGE=RISE gap_us=6800
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=12064
EDGE=FALL pulse_us=50848
EDGE=RISE gap_us=18352
EDGE=FALL pulse_us=9968
EDGE=RISE gap_us=7680
EDGE=FALL pulse_us=131952
EDGE=RISE gap_us=14400
EDGE=FALL pulse_us=105616
EDGE=RISE gap_us=18096
EDGE=FALL pulse_us=33312
EDGE=RISE gap_us=17952
