[COM12] WATCHDOG: STALL gap_us=3000004
[COM11] WATCHDOG: STALL gap_us=3000004
[COM13] WATCHDOG: STALL gap_us=3000016
[COM13] cyl=3 seq=33 ev=EARLY     val_us=26320 refBig_us=90656
[COM13] cyl=3 seq=34 ev=SKIP      val_us=12656 refBig_us=89248
[COM11] cyl=1 seq=33 ev=SKIP      val_us=35152 refBig_us=89424
[COM11] cyl=1 seq=34 ev=SKIP      val_us=23344 refBig_us=88032
[COM12] cyl=2 seq=34 ev=FIRED     val_us=159152 refBig_us=95168 period_us=159824 rpm=375 resid_us=-704 edgeToSpark_us=144272
[COM11] cyl=1 seq=35 ev=SKIP      val_us=9424 refBig_us=86672
[COM12] cyl=2 seq=35 ev=SKIP      val_us=4608 refBig_us=93696
[COM12] cyl=2 seq=36 ev=SKIP      val_us=30176 refBig_us=92240
[COM12] cyl=2 seq=37 ev=SKIP      val_us=6080 refBig_us=90800
[COM12] cyl=2 seq=38 ev=SKIP      val_us=24016 refBig_us=89392
[COM13] cyl=3 seq=35 ev=FIRED     val_us=137984 refBig_us=99008 period_us=87968 rpm=682 resid_us=-40512 edgeToSpark_us=76960
[COM11] cyl=1 seq=36 ev=FIRED     val_us=164080 refBig_us=91248 period_us=158624 rpm=378 resid_us=5632 edgeToSpark_us=143200
[COM13] cyl=3 seq=36 ev=SKIP      val_us=47120 refBig_us=97472
[COM13] cyl=3 seq=37 ev=SKIP      val_us=9312 refBig_us=95952
[COM11] cyl=1 seq=37 ev=SKIP      val_us=34112 refBig_us=89824
[COM11] cyl=1 seq=38 ev=SKIP      val_us=22320 refBig_us=88432
[COM12] cyl=2 seq=39 ev=FIRED     val_us=157600 refBig_us=93328 period_us=159744 rpm=375 resid_us=-2224 edgeToSpark_us=144208
[COM11] cyl=1 seq=39 ev=SKIP      val_us=11680 refBig_us=87056
[COM12] cyl=2 seq=40 ev=SKIP      val_us=53984 refBig_us=91872
[COM13] cyl=3 seq=38 ev=FIRED     val_us=117120 refBig_us=96128 period_us=88864 rpm=675 resid_us=29152 edgeToSpark_us=99216
[COM12] cyl=2 seq=41 ev=SKIP      val_us=11408 refBig_us=90448
[COM11] cyl=1 seq=40 ev=FIRED     val_us=163488 refBig_us=90448 period_us=158768 rpm=377 resid_us=4864 edgeToSpark_us=143328
[COM13] cyl=3 seq=39 ev=SKIP      val_us=54320 refBig_us=94640
[COM13] cyl=3 seq=40 ev=SKIP      val_us=11968 refBig_us=93168
[COM11] cyl=1 seq=41 ev=SKIP      val_us=35904 refBig_us=89040
[COM11] cyl=1 seq=42 ev=SKIP      val_us=17696 refBig_us=87664
[COM11] cyl=1 seq=43 ev=SKIP      val_us=4944 refBig_us=86304
[COM12] cyl=2 seq=42 ev=FIRED     val_us=156336 refBig_us=92880 period_us=159632 rpm=375 resid_us=-3408 edgeToSpark_us=144112
[COM11] cyl=1 seq=44 ev=SKIP      val_us=11248 refBig_us=84960
[COM13] cyl=3 seq=41 ev=FIRED     val_us=178400 refBig_us=91728 period_us=88880 rpm=675 resid_us=672 edgeToSpark_us=77760
[COM13] cyl=3 seq=42 ev=SKIP      val_us=6800 refBig_us=90304
[COM13] cyl=3 seq=43 ev=SKIP      val_us=6048 refBig_us=88896
[COM12] cyl=2 seq=43 ev=EARLY     val_us=62192 refBig_us=91440
[COM11] cyl=1 seq=45 ev=FIRED     val_us=159328 refBig_us=85280 period_us=158784 rpm=377 resid_us=560 edgeToSpark_us=143344
[COM11] cyl=1 seq=46 ev=SKIP      val_us=5312 refBig_us=83952
[COM13] cyl=3 seq=44 ev=SKIP      val_us=47744 refBig_us=87520
[COM13] cyl=3 seq=45 ev=SKIP      val_us=10288 refBig_us=86160
[COM11] cyl=1 seq=47 ev=SKIP      val_us=34272 refBig_us=82656
[COM11] cyl=1 seq=48 ev=SKIP      val_us=20160 refBig_us=81376
[COM12] cyl=2 seq=44 ev=FIRED     val_us=157824 refBig_us=95632 period_us=159568 rpm=376 resid_us=-1808 edgeToSpark_us=144048
[COM11] cyl=1 seq=49 ev=SKIP      val_us=12960 refBig_us=80112
[COM13] cyl=3 seq=46 ev=FIRED     val_us=156944 refBig_us=84816 period_us=88224 rpm=680 resid_us=-20816 edgeToSpark_us=77184
[COM12] cyl=2 seq=45 ev=SKIP      val_us=49584 refBig_us=94144
[COM12] cyl=2 seq=46 ev=SKIP      val_us=2992 refBig_us=92688
[COM13] cyl=3 seq=47 ev=SKIP      val_us=5568 refBig_us=83504
[COM13] cyl=3 seq=48 ev=SKIP      val_us=4848 refBig_us=82208
[COM12] cyl=2 seq=47 ev=SKIP      val_us=12208 refBig_us=91248
[COM13] cyl=3 seq=49 ev=SKIP      val_us=5456 refBig_us=80928
[COM11] cyl=1 seq=50 ev=FIRED     val_us=164608 refBig_us=91408 period_us=158960 rpm=377 resid_us=5824 edgeToSpark_us=143504
[COM13] cyl=3 seq=50 ev=FIRED     val_us=56400 refBig_us=79664 period_us=87216 rpm=687 resid_us=-31824 edgeToSpark_us=76304
[COM11] cyl=1 seq=51 ev=SKIP      val_us=34512 refBig_us=89984
[COM11] cyl=1 seq=52 ev=SKIP      val_us=22864 refBig_us=88592
[COM12] cyl=2 seq=48 ev=FIRED     val_us=159200 refBig_us=95984 period_us=159552 rpm=376 resid_us=-368 edgeToSpark_us=144032
[COM11] cyl=1 seq=53 ev=SKIP      val_us=11232 refBig_us=87216
