one_cyl_ignition LANDMARK-PLL experiment build
timing: AFTER_EDone_cyl_ignition LANDMARK-PLL experiment build
timing: AFTER_EDGE_DEG=315 TRIGGER_ANGLE_BTDC=330 ADVANCE_BTDC=15
WATCHDOG: STALL gap_us=3000012
one_cyl_ignition LANDMARK-PLL experiment build
timing: AFTER_EDGE_DEG=315 TRIGGER_ANGLE_BTDC=330 ADVANCE_BTDC=15
WATCHDOG: STALL gap_us=3000012
seq=186 ev=SKIP      val_us=8896 refBig_us=84944
seq=187 ev=FIRED     val_us=149264 refBig_us=88912 period_us=137888 rpm=435 resid_us=11728 edgeToSpark_us=120640
seq=188 ev=SKIP      val_us=40832 refBig_us=87536
seq=189 ev=SKIP      val_us=8352 refBig_us=86176
seq=190 ev=FIRED     val_us=147984 refBig_us=88528 period_us=138192 rpm=434 resid_us=10096 edgeToSpark_us=120912
seq=191 ev=SKIP      val_us=41872 refBig_us=87152
seq=192 ev=SKIP      val_us=8544 refBig_us=85792
seq=193 ev=FIRED     val_us=144928 refBig_us=84464 period_us=138400 rpm=433 resid_us=6736 edgeToSpark_us=121088
seq=194 ev=SKIP      val_us=45136 refBig_us=83152
seq=195 ev=SKIP      val_us=8144 refBig_us=81856
seq=196 ev=FIRED     val_us=146400 refBig_us=87216 period_us=138640 rpm=432 resid_us=8000 edgeToSpark_us=121296
seq=197 ev=SKIP      val_us=41600 refBig_us=85856
seq=198 ev=SKIP      val_us=11296 refBig_us=84528
seq=199 ev=FIRED     val_us=150608 refBig_us=90704 period_us=139008 rpm=431 resid_us=11968 edgeToSpark_us=121632
seq=200 ev=SKIP      val_us=41232 refBig_us=89296
seq=201 ev=SKIP      val_us=7936 refBig_us=87904
seq=202 ev=FIRED     val_us=148032 refBig_us=88384 period_us=139280 rpm=430 resid_us=9024 edgeToSpark_us=121856
seq=203 ev=SKIP      val_us=44304 refBig_us=87008
seq=204 ev=SKIP      val_us=8896 refBig_us=85664
seq=205 ev=FIRED     val_us=152288 refBig_us=91184 period_us=139680 rpm=429 resid_us=13008 edgeToSpark_us=122208
